カンマ(,)は消さずにお願いします。★は消しても大丈夫です,,,,,,
左から「曲番号」「ファイル名」「曲名」「作曲者」「演出総数(2以上の場合のみ記入)」「補足(ファイル消失等)」,,,,,,,
編集したら「RIGHT:最終更新」の部分を書き換える事！しなくても良いけど、してくれると嬉しいです,,,,,,,
ちなみにエクセルで見るとコンマが表の区切りとして認識されます。なのでエクセル推奨。でも保存は「csv形式」でお願いね,,,,,,,
,,,,,,,
,>,>,>,>,>,RIGHT:最終更新：2013/02/11,★
,No.,ファイル名,曲名,作曲者,演出,補足,★
,1,ym2-00_ano deskwork.wav,ano deskwork,ym2,,,★
,2,OP曲「ゆめ2っき」By音師竹内.mp3,OP曲,音師竹内,,スタッフロール3を見ると演出変化,★
,3,yumeorugo_arr2.wav,yumeorugo_arr2,No Data,,スタッフロール4を見ると演出変化,★
,4,626-ryukyu.wav,ryukyu,626,,おとこのこ取得で演出追加,★
,5,626-seagull.wav,seagull,626,5,壁紙「私　沖のうろ顔」取得で演出追加,★
,6,yumepo6.wav,yumepo6,,2,,★
,7,932-warm.wav,warm,932,,,★
,8,626-tb303.wav,tb303,626,,,★
,9,803-1.wav,No Data,803,,壁紙「虹と空」取得以前は雪が降り、取得以後は虹が架かる,★
,10,903-suna001.wav,suna-001,903,2,,★
,11,base.wav,base,,,,★
,12,bgm1.wav,bgm1,,,,★
,13,yumepo3.wav,yumepo3,,,,★
,14,bgm038.wav,bgm038,,2,,★
,15,bgm052.wav,bgm052,,,バイク取得で演出追加,★
,16,bgm055.wav,bgm055,,,,★
,17,yumepo1.wav,yumepo1,,,,★
,18,By音師竹内_626-ryukyu_sasikae.wav,,音師竹内,,,★
,19,Color.wav,Color,KuuleroV,,,★
,20,dedp_12 The Bosun Freaked.wav,12 The Bosun Freaked,,,,★
,21,dedp_63 To Blip.wav,63 To Blip,,2,,★
,22,626-india.wav,india,626,2,カンテラ取得で演出追加,★
,23,yumenikkig_uljp00129 no name 2-169 .wav,,,,壁紙「宇宙」取得で演出変化,★
,24,yumenikkig_uljp00128.wav,,,2,コウモリ取得で演出追加,★
,25,dedp_e3.wav,e3,みけ,,,★
,26,ym2-19_kuruwasiimonohahaieguru.mid,,ym2,,,★
,27,uti-c.wav,uti-c,,,,★
,28,uti-b.wav,uti-b,,,,★
,29,uti-a2.wqv,uti-a2,,,,★
,30,tom.wav,tom,,,,★
,31,heart beat.wav,heart beat,,,,★
,32,hi.wav,hi,,,にじ取得で演出追加,★
,33,tm2_bird002.wav,tm2_bird002,,,,★
,34,soto-C8.wav,soto-C8,,,,★
,35,loda_Music_01.wav,Music_01,,,,★
,36,loda_Music_02.wav,Music_02,,,壁紙「サーカステント」取得で演出変化,★
,37,loda_Music_03.wav,Music_03,,,1分待つと豹変,★
,38,Merrygo.wav,Merrygo,KuuleroV,,,★
,39,qs0UrDFJ-title.wav,title,qs0UrDFJ,2,,★
,40,qs0UrDFJ-bgm054.wav,No Data,qs0UrDFJ,,,★
,41,qs0UrDFJ-bgm060.wav,bgm060,qs0UrDFJ,,壁紙「待つ人たち」取得で演出追加,★
,42,qs0UrDFJ-bgm007.wav,bgm007,qs0UrDFJ,,,★
,43,qs0UrDFJ-bgm041.wav,bgm041,qs0UrDFJ,2,,★
,44,qs0UrDFJ-bgm047.wav,bgm047,qs0UrDFJ,,,★
,45,152-organ33.wav,organ33,152,,FUJI解禁で演出追加,★
,46,zaza.wav,zaza,,2,,★
,47,ym2-02_chii gensyou.mid,ym2,chii gensyou,,,★
,48,rec2.wav,rec2,,,,★
,49,bgm8.wav,bgm8,,,,★
,50,piano2.wav,piano2,,,,★
,51,piano1.wav,piano1,,,,★
,52,kura_title.wav,kura_title,kuraud,,,★
